timestamp,zone,ecu_status,network_status,gateway_status,recovery_status,recovery_attempts,telemetry,diagnostics
2026-09-17T21:54:17,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:17,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:17,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:18,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.01, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:18,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.01, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:18,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.01, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:19,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:19,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:19,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:20,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 3.02, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:20,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 3.02, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:20,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:21,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 4.03, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:21,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 4.03, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:21,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:22,FRONT,ONLINE,FAULT DETECTED,CONNECTED,IDLE,0,"{""timestamp"": 5.03, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",DTC-CAN-301: Rear Zonal ECU communication lost
2026-09-17T21:54:22,CABIN,ONLINE,FAULT DETECTED,CONNECTED,IDLE,0,"{""timestamp"": 5.03, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",DTC-CAN-301: Rear Zonal ECU communication lost
2026-09-17T21:54:22,REAR,OFFLINE,FAULT DETECTED,CONNECTED,IDLE,0,"{""timestamp"": 2.02, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",DTC-CAN-301: Rear Zonal ECU communication lost
2026-09-17T21:54:23,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 6.04, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:23,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 6.04, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:23,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 6.04, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:24,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 7.05, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:24,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 7.05, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:24,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 7.05, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:25,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 8.05, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:25,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 8.05, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:25,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 8.05, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:26,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 9.06, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:26,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 9.06, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:26,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 9.06, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:27,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 10.07, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:27,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 10.07, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:27,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 10.07, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T21:54:28,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 11.08, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T21:54:28,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 11.08, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T21:54:28,REAR,ONLINE,HEALTHY,CONNECTED,RECOVERED,1,"{""timestamp"": 11.08, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T22:02:35,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T22:02:35,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T22:02:35,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 0.0, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T22:02:36,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.0, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T22:02:36,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.0, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T22:02:36,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 1.0, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
2026-09-17T22:02:37,FRONT,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.01, ""speed_kph"": 45, ""obstacle"": ""CLEAR"", ""steering_angle_deg"": 0}",NONE
2026-09-17T22:02:37,CABIN,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.01, ""temperature_c"": 26, ""driver_detected"": true, ""doors"": {""front_left"": ""CLOSED"", ""front_right"": ""CLOSED"", ""rear_left"": ""CLOSED"", ""rear_right"": ""CLOSED""}, ""seatbelts"": {""driver"": ""WORN"", ""front_passenger"": ""WORN"", ""rear_left"": ""WORN"", ""rear_right"": ""WORN""}}",NONE
2026-09-17T22:02:37,REAR,ONLINE,HEALTHY,CONNECTED,IDLE,0,"{""timestamp"": 2.01, ""obstacle"": ""CLEAR"", ""parking_brake"": true, ""status"": ""OK""}",NONE
